Position_tree	OTU_name	Taxonomy	Relative_abundance (%)					Trend *				P value_Mann-Whitney U test			
			NCD	HFD	HFD+BBR200	HFD+BBR100	HFD+MET200	HFD+BBR200	HFD+BBR100	HFD+MET200	Kruskalwallis test	NCD vs HFD	HFD vs HFD+BBR200	HFD vs HFD+BBR100	HFD vs HFD+MET200
123	U00305232	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.02	0.06	1.39	1.07	0.08	up	up	up	7.42E-08	0.3760	0.0001	0.0001	0.1485
124	U00000607	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; 	0.03	0.23	1.14	0.24	1.07	up	up	up	1.58E-06	0.0433	0.0022	0.5702	0.0045
125	U00785606	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelotrichaceae_incertae_sedis	0.00	0.00	0.13	0.04	0.00	up	up	same	1.19E-05	NaN	0.0008	0.0350	NaN
126	U00001267	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelotrichaceae_incertae_sedis	0.00	0.00	1.18	0.15	0.00	up	up	same	1.02E-08	NaN	0.0001	0.0008	NaN
127	U00003073	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Holdemania	0.00	0.00	0.30	0.27	0.01	up	up	up	1.38E-08	NaN	0.0001	0.0001	0.1681
128	U00000999	; ; ; ; 	0.52	0.10	0.00	0.00	0.10	down	down	down	2.48E-06	0.0032	0.0350	0.0350	0.9012
129	U00001039	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Clostridium XVIII	0.02	0.00	1.76	0.85	0.00	up	up	same	6.48E-09	0.3681	0.0001	0.0001	NaN
130	U01123199	Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; 	0.30	0.49	0.00	0.00	0.00	down	down	down	1.52E-07	0.3073	0.0008	0.0008	0.0014
131	U00000374	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Butyricicoccus	0.00	0.01	0.40	0.53	0.15	up	up	up	2.08E-07	0.1681	0.0008	0.0001	0.0004
132	U00424554	Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium	0.00	0.00	0.00	0.17	0.00	same	up	up	1.19E-05	NaN	NaN	0.0022	0.3681
133	U00000235	Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium	0.01	0.06	4.75	2.64	3.69	up	up	up	5.68E-08	0.6704	0.0001	0.0001	0.0001
